"Time (s), Position (m)"
0,0.329800009727478
0.05,0.33009999990463257
0.1,0.3305000066757202
0.15,0.33079999685287476
0.2,0.33079999685287476
0.25,0.33079999685287476
0.3,0.33079999685287476
0.35,0.3310999870300293
0.4,0.33149999380111694
0.45,0.33219999074935913
0.5,0.33250001072883606
0.55,0.33390000462532043
0.6,0.33559998869895935
0.65,0.33799999952316284
0.7,0.3400999903678894
0.75,0.3441999852657318
0.8,0.35040000081062317
0.85,0.3569999933242798
0.9,0.36489999294281006
0.95,0.37389999628067017
1.0,0.383899986743927
1.05,0.3935000002384186
1.1,0.4034999907016754
1.15,0.414900004863739
1.2,0.42590001225471497
1.25,0.43630000948905945
1.3,0.447299987077713
1.35,0.45899999141693115
1.4,0.47040000557899475
1.45,0.4803999960422516
1.5,0.49140000343322754
1.55,0.5009999871253967
1.6,0.5127999782562256
1.65,0.5254999995231628
1.7,0.5375999808311462
1.75,0.5496000051498413
1.8,0.5619999766349792
1.85,0.5734000205993652
1.9,0.5838000178337097
1.95,0.5943999886512756
2.0,0.6019999980926514
2.05,0.6105999946594238
2.1,0.6198999881744385
2.15,0.6272000074386597
2.2,0.6323000192642212
2.25,0.6360999941825867
2.3,0.6378999948501587
2.35,0.6395999789237976
2.4,0.641700029373169
2.45,0.6402999758720398
2.5,0.6371999979019165
2.55,0.633400022983551
2.6,0.630299985408783
2.65,0.6258000135421753
2.7,0.6205999851226807
2.75,0.611299991607666
2.8,0.5993000268936157
2.85,0.5820000171661377
2.9,0.5623999834060669
2.95,0.5403000116348267
3.0,0.5169000029563904
3.05,0.49070000648498535
3.1,0.4641999900341034
3.15,0.43630000948905945
3.2,0.4120999872684479
3.25,0.383899986743927
3.3,0.35420000553131104
3.35,0.3255999982357025
3.4,0.3005000054836273
3.45,0.2777000069618225
3.5,0.26010000705718994
3.55,0.24809999763965607
3.6,0.24529999494552612
3.65,0.2442999929189682
3.7,0.2515000104904175
3.75,0.26499998569488525
3.8,0.28529998660087585
3.85,0.3107999861240387
3.9,0.3407999873161316
3.95,0.37560001015663147
